Group.1	X1	X1_Mata	X10	X10_Sopo	X102M	X11	X11A2	X12	X12_Makumba	X121B	X1220	X13	X14	X15	X157	X16	X16Susa	X17_Mayele	X18	X18Lungu	X19	X1FECOB	X2	X20	X21	X21Mapoki	X22	X22_Susa	X23	X23Mongali7516	X24	X24_Mongali	X249M	X25	X25_Mayele	X251M	X253M	X28Wiya	X29	X2FecJUDY	X3	X3_Mama	X30	X30_Duma	X31	X32	X33_Didon	X34_Boto	X35	X35_Ngombi	X36_Molongo	X37_Ngonduma	X38_Ito	X39_Iyiki	X4_Mio	X40_Epessekele	X41_Francois	X42_Ndidje	X43_Wala	X44_Zulia	X45_Maki	X46_Singa	X47_Mbusa	X49_Bonango	X4FecTEA	X50_Bajungo	X51_Malambo	X52_Lindaki	X53_Yambi	X54_Manoi	X55_Luma	X56_Adamou	X57_Yama	X58_Abuya	X59_Abeni	X5Malui	X6_samba	X60_Omer	X7_Tembo	X87M	B1	B2	B3	B4	C6	CH10	CH11	CH12	CH13	CH14	CH15	CH16	CH17	CH6	CH7	CH8	CH9	Day	G161	G6	H1	H10	H100	H12	H2	H3	H4	H5	H6	H7	H9	HA	HB	Jab	Jab2	K1	K2	K3	K4	K5	K6	M1	M157	M158	M159	M2	M255	M3	M4	M45	M49	M5	M7	MH10	MH2	MH3	MH4	MH5	MH6	MH7	MH8	MH9	MK	Nne	PA	Sam2	Samson	SCH2	Scho2	Shorder	T1
Ascomycota;Aspergillaceae	0	0.031573104	0.016274371	0.056375839	0.292688081	0.00647821	0.001105176	0.00996869	0.23617233	0	0	0.005504587	0.002046988	0.004395737	0.174165791	0.023061962	0.025922516	0.030113258	0.094880878	0.037012382	0.063978409	0.124943052	0	0.149506782	0.031937408	0.059447983	0.112698413	0.148868445	0.077152164	0.077341625	0.120075299	0.045148464	0.089437046	0.193719094	0.242828457	0.262196117	0.04738937	0.037125419	0.02983188	0.120031575	0.067536564	0.045454545	0.049229923	0.083261838	0.009019338	0.028927459	0.046183913	0.107715814	0.016585985	0.103996987	0.405487122	0.005008195	0.034856112	0.006140106	0.025748134	0.025577043	0.038541761	0.028599703	0.010434397	0.00871396	0.061203672	0.039215686	0.006522017	0.046501943	0.086295128	0.008573178	0.017926783	0.059487029	0.114787528	0.104849351	0.080731798	0.06575769	0.013753482	0.092289157	0.079603759	0.026813472	0.005014295	0.028835591	0.150699981	0.184681734	0	0	0	0	0.17275	0	0.037231471	0.06908566	0.278148781	0.177153797	0.096242555	0.094785921	0.154202378	0.213097942	0.015654459	0.230301469	0.131223733	0.024092179	0.997386152	0.000268186	0	0.025610175	0	0.01866071	0.145918292	0.000286467	0	0	0.328505801	0	0.029372298	0.174963079	0	0	0.006361565	0.01154092	0.000155299	0	0	0.000183817	0.000110181	0	0.000882193	0.011744387	0.058446136	0.234694914	0.076576104	0	0.254542998	0.166140968	0.058354193	0.001014807	0	0	0.025912079	0.001653962	0.004122889	0	0.000448252	0.004745503	0.002598813	0	0.010836177	0.012363699	0.028859882	0.008918618	0.005372276	0.020317885	0.027260926	0.020674977	0.015167765
Ascomycota;Aureobasidiaceae	0.011303955	0.020227604	0	0.006757695	0	0.037057171	0	0.003310901	0	0	0.073546011	0.00058382	0.010374506	0.007828024	0	0.002333982	0	0.01065956	0	0.001065105	0.003333863	0.02095672	0.010269049	0	0	0.002213489	0.00430839	0	0	0.012083525	0.006588678	0	0	0	0	0	0	0	0.003665782	0	0.000382373	0.018130457	0	0	0	0	0	0	0	0	0.000783875	0	0	0	0	0	0.000453432	0	0	0	0	0	0.002728164	0	0	0	0	0	0.003749507	0	0	0	0	0.026204819	0	0	0	0	0	0	0	0	0	0	0	0	0.040132624	0.035886715	0.010094735	0.004148054	0.075731112	0.001194064	0	0.007545235	0.099125864	0.001855192	0.014783684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000104297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001730852	0	0
Ascomycota;Beltraniaceae	0.000973879	0.005100271	0	0	0	0	0	0	0	0	0	0	0	0.002348407	0.063222543	0	0	0	0	0	0	0	0.000492914	0	0	0	0	0	0	0	0	0	0.003581517	0	0	0	0.000842894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000191902	0	0	0.001048988	0	0	0	0.000417188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascomycota;Biatriosporaceae	0	0	0.013816831	0	0.00028177	0	0	0	0	0	0	0	0	0	0	0	0	0.005996003	0.001667014	0	0	0	0	0	0	0	0.001473923	0	0	0	0	0	0.001513317	0	0	0.001468429	0.000655584	0.000321234	0.004424219	0	0	0.010426297	0.006050605	0.002124443	0.00045861	0.001186768	0	0	0	0.000706181	0	0	0	0	0	0	0	0.002671945	0	0.000643312	0	0	0	0.000555247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009553445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000690846	0.000282008	0	0	0	0	0.00024263	0.000782228	0	0	0	0	0	0	0.001332474	0.000448252	0	0	0	0	0	0	0	0	0	0	0	0
Ascomycota;Bionectriaceae	0.000939098	0.002983832	0.007591065	0.001897709	0.011763877	0.012367491	0	0.003022996	0	0	0	0.001626355	0.000558269	0.01686036	0	0.003000834	0.004922445	0.003597602	0.007084809	0.002795899	0	0	0	0.005754213	0	0.005240096	0	0	0	0.003003215	0.001949711	0	0.007062147	0.009282554	0	0.001577201	0.00604074	0.008719196	0.004424219	0	0.001577287	0.006882383	0	0.003717776	0.002369487	0	0.000720016	0	0.00650742	0	0	0.022764524	0	0.00046516	0	0	0	0.001385453	0	0	0	0	0.006436762	0.004025541	0	0	0	0.001520279	0	0.008961953	0	0	0.000870474	0.009698795	0.001625603	0	0.000483835	0.00411937	0	0.002292827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001133728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002264441	0.002185561	0	0.003042064	0	0	0	0.004954109	0	0	0	0	0	0	0	0.001145532	0	0	0	0	0	0	0	0	0	0	0	0
Ascomycota;Boliniaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00650289	0	0.004037113	0	0	0	0	0	0	0	0	0	0.003287982	0	0	0	0	0	0	0	0	0	0.00018731	0.000642467	0	0	0	0	0.003850385	0.000735384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000307043	0.000423012	0	0.000209798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascomycota;Botryosphaeriaceae	0.038189976	0.02366248	0.039975971	0.008099977	0.009227952	0.034339041	0.001105176	0.020549178	0.001421868	0	0	0.023936614	0.023307746	0.012825917	0	0.015837733	0.012819605	0.007594937	0.00833507	0.007366973	0.006985236	0	0.067857876	0.004521167	0	0.016894792	0.001133787	0.062769302	0.002047464	0.009468961	0.007731612	0.062111204	0.003329298	0.014921489	0.094485083	0.005601784	0.006977289	0.008994539	0	0	0.254851353	0	0.00660066	0.120725579	0.006879156	0.003411957	0	0	0.007062932	0.002401017	0	0.001365871	0	0.000651223	0.062452921	0.006862133	0.00376349	0.014844137	0.00185007	0.00198842	0.000680041	0.015781923	0.007204058	0	0	0	0.005094981	0	0.001447178	0	0.005424666	0.001825111	0.004178273	0.004096386	0	0	0.049439191	0.021329183	0.027120347	0.023364996	0	0	0	9.90E-05	0.0025	0	0	0	0	0	0.005911595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002034159	0.001621545	0	0.000367146	0	0	0	0.022163121	0	0	0	0	0	0	0.000945626	0	0	0.001124859	0	0.004266212	0	0	0	0	0	0	0	0
Ascomycota;Caliciaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.001581763	0.000481725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascomycota;Capnodiaceae	0.003756391	0.004267573	0	0.021152511	0.014792899	0	0	0	0.00021328	0	0	0	0	0.000963449	0	0.001000278	0.011190594	0	0	0.001642036	0	0	0	0	0	0.007047025	0	0	0	0.025191676	0	0	0.000756659	0	0	0.006471964	0.001030204	0.002569868	0	0	0	0	0	0.01021367	0	0	0	0	0	0	0	0.001001639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000307895	0	0	0.00884376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001228171	0.001480541	0	0.001311235	0	0	0.009765862	0.013402169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascomycota;Cephalothecaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000764048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001392758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008379888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003327535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002160383	0.003461705	0	0
