Sample	Group	Trichoderma	Aureobasidium	Neopestalotiopsis	Saccharomycopsis	Talaromyces	Fusarium	Ophionectria	Nigrospora	Unassigned Capnodiales	Ganoderma	Unassigned Sordariomycetes	Unassigned Pleosporale	Unassigned Pleosporale2	Hanseniaspora	Lactarius	Lasiodiplodia	Candida	Pichia	Schwanniomyces	Unassigned Ascomycota	Sordaria	Wickerhamomyces	Trichosporon	Unassigned Didymosphaeriaceae	Cladosporium	Saccharomyces	Aspergillus	Malassezia	Penicillium	Unassigned Saccharomycetales
B2	Mountain Gorilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.88232864	0	0
B3	Mountain Gorilla	0	0	0	0	0	0	0	0.01046828	37.50087236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.61351106	0	0.01046828
B4	Mountain Gorilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.01650437	0	0
H1	Mountain Gorilla	1.65071945	0	0.78883938	0	0	0	0	1.38412096	0	1.17960704	0	0.88379227	1.96114236	0	0	0	0	0	0	0	0	0	0	0	0.56971733	0	0	0.920312614	0	0
K1	Mountain Gorilla	0	0	0	0	0	0	0	0	5.616330213	1.79316567	0	0.63907372	0	0	0	0	0	0	0	7.05988497	0	0	0	0	2.01496184	0	1.154091951	0	0	0
K2	Mountain Gorilla	0	0	0	0	0	0	0	0	0	57.7711517	0	0	0	0	0	0	0	0	0	0	0	0.006211952	0	0	1.15231706	0	0.015529879	0.006211952	0	0
K3	Mountain Gorilla	0	0	0	0	0	0	0	0	0	0	23.25855231	0	0	0	0	0	0	0.006197323	0	0	0	0	0	0	0	0	0	25.19521567	0	0
K4	Mountain Gorilla	0	0	0	0	0	0	0	13.13666949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.25997059	0	0
K5	Mountain Gorilla	0	0	0	0	0	0.007352671	0	0	0	0.01470534	0	0	34.07595309	0	0	0	0	0	0	0	0	0	0	0	0.01470534	0	0.007352671	27.55781038	0.01102901	0
K6	Mountain Gorilla	0	0	0.01101807	0	0	0	0	0	0	0.00734538	0	0	0.01101807	0	0	0	0	0	0	0	0	0	0	0	19.21918613	0	0	8.630821213	0.01101807	0
M1	Mountain Gorilla	23.59209194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.40570649	0	0	41.00215755	0	0
M2	Mountain Gorilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.46949135	0	0	0.04737893
M3	Mountain Gorilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.28582411	0	0	0	0	0	0	0	17.89176953	0	0
M4	Mountain Gorilla	0	0	0	0	1.14841586	0	0	2.65148956	0	0	0	0	0	0	0	0	0	0	0	0	0.02702155	0	0	0	2.64811187	0	25.4542998	4.380868743	0	0
M5	Mountain Gorilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02306379	0	0.01845104	0	0	0	0.101480696	0	0	0.02306379
M7	Mountain Gorilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01685488	0	0	0	21.15287376	0	0	0.016854879	0	0
MH10	Mountain Gorilla	0	0	2.29464418	0	0	4.015627318	0	0.82587409	0	1.85450769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.71292221	0	0	0.954453291	0	0
MH2	Mountain Gorilla	0	0	0	0	0	0	0	0	0	0.98298311	0.75738043	1.7693696	0	0	0	0	0	0	0	0.4221993	0	0	0	0	1.42451979	0	0	2.352713678	1.24726054	0
MH3	Mountain Gorilla	0	0	0	0	0	0.129440529	0	0.72270962	0	0.5321444	0.47461527	0.80900331	0.24090321	0	0	0	0	0	0	0.56450453	0	0	0	0.13663167	1.1973249	0	0	0.046742413	0.16539623	0
MH4	Mountain Gorilla	0.47878707	0	0	0	0	0.864476659	0	1.69792082	0.664982045	1.30336481	0.43445494	0.456621	0.57188456	0	0	0	0	0	0	0.40342244	0	0	0	0	1.1038702	0	0	2.540231414	0.41228887	0
MH5	Mountain Gorilla	0	0	1.28949065	0	0	0.202020202	0	0.75220288	0	0.31807436	1.08317215	0.24500322	0.45562003	0	0	0	0	0	0	1.92134107	0	0	0	0.23640662	3.3612723	0	0	1.457124436	0	0
MH6	Mountain Gorilla	0.05478633	0	0.11455324	0	0	0.512999303	0	1.52903676	0.488096424	0.81183385	0.63253312	0.88654248	0.41836836	0	0	0	0	0	0	0.89650364	0	0	0	0.26895109	0.92638709	0	0	0.204203606	0.04482518	0
MH7	Mountain Gorilla	0.59318791	0	0.14159969	0	0	0.390355913	0	0	0.114810563	1.20168389	0.98737084	1.60734788	0.56257176	0	0	0	7.76502105	0	0	1.8982013	0	0	0	0	0.83429009	0	0	1.025641026	0.47455033	0
MH8	Mountain Gorilla	0.68655211	0	0.83394748	0	0	0	0	1.69892557	0.376246073	1.10158644	0.56630852	0.52752027	0.27151778	0	0	0.11248594	0	0	0	1.05504053	0	0	0	0.23272953	2.08292929	0	0	1.477832512	0.25988131	0
MH9	Mountain Gorilla	0	0	1.18618029	0	0	0	0	2.54385652	0	1.12186931	0.19293294	0	0.53592483	0	0	0	0.96109186	0	0	0	0	0	0	0	1.37196756	0	0	1.63635714	0	0
H10	USA-Human	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56720523	0	2.801650052	2.56101753	0
H100	USA-Human	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.10247805	0	0	0	0.02298745
H12	USA-Human	0	0	0	0	0	0	0	0	0	0	0	0	0	0.530503979	0	0	0	0.037228349	0	0	0	0	0	0	0	0	0.842291405	2.168551352	1.02377961	0.02326772
H2	USA-Human	0	0	0	0	1.75724772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.46259361	0	8.823311337	14.59182917	0
H3	USA-Human	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02291738	0.011458691	0	0	0	0	0	0	0	0.02864673	0.028646729	8.347656698	0	0
H4	USA-Human	0	0	0	0	1.38661823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.65213442	0	0.29669997	0	0.02422041
H5	USA-Human	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115340254	0	0	0	0	0	0	0	0	0	9.111880046	0	0.10252467
H6	USA-Human	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83313867	0	0	2.90430585	0	0.778634275	32.85058008	0
H7	USA-Human	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01400855	0	0	26.89640681	0	16.07480563	0	0.11206836
H9	USA-Human	0.39510959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36215894	0	0	0	0	0	0	0	0.84240346	0.04472939	0.31310571	0	2.62412405	0
HA	USA-Human	0	0	0	0	0	0	0	0.27799496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.75388759	0.08687343	0	0.833984884	17.49630788	0
HB	USA-Human	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5610556	0	0	0	0	0	0	0	0	5.72038746	0	5.781404927	0	0
X1_Mata	Western Lowland Gorilla	0.37471376	2.02276039	1.82846437	0	0	0	0	1.67927278	0.218583027	0.37818333	3.17118868	0.20123517	0.90902783	7.61224065	0	2.366248	2.73055305	0	3.13649296	1.12414128	0	0	0	1.66886406	4.683922	0	0.516966206	2.140725834	2.64034418	0
X10_Sopo	Western Lowland Gorilla	0.5646841	0.6757695	0	3.19370516	0	1.046054154	0	0	0.407313122	0	0.35177042	0	0	4.221245082	0	0.80999769	1.10622541	0	7.35015043	2.25410785	0	0	0	0.06942837	0.96736866	0	0.85165471	0.333256191	3.95741726	0
X12_Makumba	Western Lowland Gorilla	0	0	0.14218683	0.76069956	0	0	0	0	0	0	0.60429404	0	0.01421868	5.147163373	0	0.14218683	0.48343523	0	1.79866344	0.04976539	0	0.014218683	0	0	0.07820276	0	0	0	23.44660884	0
X157	Western Lowland Gorilla	0	0	0.35141881	0	2.1019443	0	0	0.38754598	0.006568576	0	0	0	0	0	0	0	4.10864425	11.47201787	0	0.28573305	0	3.192327903	0	0	0	0	7.271413558	0.535338939	7.29440357	0
X16Susa	Western Lowland Gorilla	1.11197677	0	2.54975565	0	0.69410015	0	0	0	1.04469155	0	1.27487782	0.69764148	0.44620724	13.74743254	0	1.28196048	0.74722006	0	13.03562575	0	0	0	0	1.28904313	2.5568383	0	0	0	0.44620724	0
X17_Mayele	Western Lowland Gorilla	0.57295137	1.06595603	0	0	1.73217855	0.626249167	0	0	0.986009327	0	0.29313791	0.34643571	0.69287142	0	0	0.75949367	0.0532978	0	0	4.73017988	0	0	0	1.33244504	2.69153897	0.0266489	0.173217855	0.066622252	0.29313791	0.0532978
X18Lungu	Western Lowland Gorilla	0.74113522	0.10651045	2.26778503	2.94235122	0.87871122	0.071006968	0	0	0.639062708	0.09763458	0.09319664	0.36834864	0.17307948	7.287090046	0	0.60355922	0.99853548	0	18.2532286	1.35800825	0	0.541428128	0	0.11094839	0.83433187	0	0.75444903	0.133138064	1.19824258	0.32840722
X21Mapoki	Western Lowland Gorilla	1.05253648	0.10841577	1.44554366	0.93056873	1.41392239	0.704702534	0.085829155	0	0.072277183	0.03613859	0.56918282	0.71825451	0.4336631	14.81230519	0	1.5855807	0.47431901	0	17.3420066	1.55847676	0	0.216831549	0	0.1129331	0.58273479	0	0.813118309	0.293626056	2.0011745	0
X22_Susa	Western Lowland Gorilla	0.12810062	0	0	0	0	0	0	0	0	0	0.92387718	1.61096231	2.98513256	0	0	6.00520166	0	0	0	5.1783704	0	0	0	0.04658204	6.43220372	0	0	0	2.14277396	0
X23Mongali7516	Western Lowland Gorilla	0.9398297	1.20835247	0	5.31745751	0	1.589937462	0	0	0.55117832	0	0.60417624	0	0	7.455040102	0	0.94689609	2.03511995	0	12.82549553	3.28233756	0	0	0	0.17665972	0.82323429	0	1.13415539	0.922163728	5.43405293	0
X24_Mongali	Western Lowland Gorilla	0	0	5.67241711	0	0	0	0	0.57718207	1.330725325	0	0	1.19604951	0	5.973834413	0	6.21112037	0	0	18.30949785	0	0	0	0	1.70589367	3.6105945	0	0	0.019239402	3.81902136	0
X25_Mayele	Western Lowland Gorilla	0	0	0	0	0.3800918	0	0	0	0	0	3.14830752	8.64529547	3.5929432	0	0	9.44850832	0.1900459	0	0	3.67900172	0	0	0	17.28341939	2.68574297	0	1.222748135	0	9.76047045	0
X28Wiya	Western Lowland Gorilla	0.71589188	0	0.67000138	7.51227571	0.83061815	0.142260566	0	0.10095911	0.426781699	0.16520582	0.36712404	0.79390574	0.19274012	25.61608003	0	0.8627415	4.42843376	0	13.63406911	1.22068744	0	0.036712404	0.05506861	0.04130145	0.44054885	0	0.26616493	0.027534303	1.61534578	0.05965766
X3_Mama	Western Lowland Gorilla	0.93990755	1.81304571	0	0	2.82485876	0.765279918	0	0	2.275295326	0	0	1.14021572	0.93477144	0	0	0	0	0	0	1.87467899	0	0	0	2.80431433	4.11915768	0	0.174627632	0.082177709	0.61119671	0
X30_Duma	Western Lowland Gorilla	0.50659803	0	0	0	2.14895616	0.241042611	0.151162316	0.02859828	2.136699759	0	2.22249459	3.34599828	1.07039261	0	0	6.5857744	4.02418597	0	0	2.50439188	0	0	0	1.38497365	3.0886138	0	0.294153695	0	5.26616824	0
X4_Mio	Western Lowland Gorilla	0	0	0.15750188	0.12326234	0.15750188	0	0	0	0.356091214	0	0.05478326	0.74642197	2.19817846	0.534136821	0	6.24529206	0.05478326	0	2.12969938	1.90371841	0	0	0	60.72724783	1.82154352	0	0.089022804	0	1.35588578	0
X5Malui	Western Lowland Gorilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.23488774	2.68134715	0
X6_samba	Western Lowland Gorilla	0.07037607	0	0.26391027	0.08357159	0.04838355	0.021992523	0.017594018	0	0	0	0.03078953	0.07037607	0	4.244556851	0	4.91312954	0.07917308	0	4.10380471	0.22872223	0	0.013195514	0	70.46844073	0.08797009	0.03078953	0	0.030789532	0.22872223	0.02639103
X7_Tembo	Western Lowland Gorilla	0	0	2.40441961	0	0	0.527340072	0	0.23228075	0	0.90715048	0.35156005	2.17213887	0.64661937	0	0	2.121916	0.90087262	0	4.77431101	0.2165861	0	3.616046205	0	0.33272647	1.17709837	0	2.765396447	2.78736895	12.30460167	0
