Sample	Group	Trichoderma	Aureobasidium	Neopestalotiopsis	Saccharomycopsis	Talaromyces	Fusarium	Ophionectria	Nigrospora	Unassigned Capnodiales	Ganoderma	Unassigned Sordariomycetes	Unassigned Pleosporale	Unassigned Pleosporale2	Hanseniaspora	Lactarius	Lasiodiplodia	Candida	Pichia	Schwanniomyces	Unassigned Ascomycota	Sordaria	Wickerhamomyces	Trichosporon	Unassigned Didymosphaeriaceae	Cladosporium	Saccharomyces	Aspergillus	Malassezia	Penicillium	Unassigned Saccharomycetales
X58_Abuya	BaAka-Human	0.09036145	2.62048193	0.88554217	0	0	0.078313253	0.518072289	0.40361446	0	0	0.14457831	0.89759036	0.13253012	0	6.30722892	0.40963855	0.1686747	0.126506024	0	0.21084337	0	0	3.28313253	1.07831325	7.09036145	0.1686747	8.765060241	1.114457831	0.46385542	23.57831325
X59_Abeni	BaAka-Human	0.1016002	0	0.2489205	0.20828042	1.40716281	1.391922784	0	0	0.345440691	0	0.08636017	0	0.50800102	0.086360173	10.31242062	0	0.25400051	0.716281433	0.22860046	0.55372111	0	0.375920752	0.4013208	0.07620015	1.02108204	0.23876048	7.030734061	0.365760732	0.78740157	11.21666243
X60_Omer	BaAka-Human	0	0	0	0	2.08714756	0	0	0	0	0	1.28158184	0.98864885	2.4533138	0.073233248	0	1.51958989	0	1.656902234	0	0	0	1.354815086	2.08714756	0	3.76235811	0.06407909	1.098498718	0	1.51958989	24.47821311
X18	Bantu-Human	0.10418837	0	0	0	0.04862124	0.069458915	0	0	0.250052094	0.0833507	0.44453706	0.23616031	0.57650899	0	0	0.39591582	0.72237272	10.89115788	0	0.43064527	0	0.92380357	12.32895742	0.22226853	0.42369938	0.17364729	8.793498646	0.076404807	0.63902202	20.54594707
X19	Bantu-Human	0	0.33338625	0	0	0	2.936974123	0	0	0	0	0.79377679	0.15875536	1.01603429	0.095253215	0	0.69852358	2.14319733	8.128274329	0	0.39688839	0	0	2.31782823	0.87315447	0	0	6.223210033	0.762025718	0.17463089	12.95443721
X20	Bantu-Human	0	0	0	0	0.16440608	0	0	0	0	0	0.75010275	1.51048089	0.40073983	0.030826141	0	0.27743527	0.33908755	8.651870119	0	0.42129059	0	0.184956843	3.78133991	0	0	1.45910399	14.82737361	1.243321003	0.12330456	16.89272503
X21	Bantu-Human	0	0	0	0	0	0	0	0	0	0	0	0	0	0.596421471	0	0	0.69261848	8.067722696	0	0	0	2.70634259	1.9175271	0.69903162	0.37196178	50.15712179	2.526774835	2.161226191	0.66696595	6.79150901
X22	Bantu-Human	0	0.430839	0.2154195	0.23809524	0	0	0	0	0	0	0.34013605	0	0.35147392	0	0	0.11337868	12.24489796	6.41723356	0	0.83900227	0	0	2.65306122	0.26077098	0	0	10.86167801	1.258503401	0.40816327	11.12244898
X23	Bantu-Human	0	0	0	0	0	0	0	0	0	0.78175896	0	0	0	0	0	0.20474639	1.47975803	7.668683108	0	1.95439739	0	0	0.72591903	0	0	0	7.538389949	0	0.17682643	18.05490926
X24	Bantu-Human	0	0.65886782	0	0	0	0.188247949	0.544574425	0.21514051	0	2.23880597	0.12101654	0.18152481	0.56474385	0	0	0.77316122	0	6.662632782	0	0	0	0	0.4907893	0	0.18152481	0	11.9066828	0	0.10084712	13.57402178
X25	Bantu-Human	0	0	0.52919233	0.06072699	0	0.199531535	0	0	0.685347445	0.15615511	0.19085625	0.82415199	0	0	0	1.49214887	0.1648304	16.57846795	0	0.20820682	0	1.700355687	5.71701223	0	0.85017784	0.03470114	18.14001909	0	1.23189034	17.7496313
X29	Bantu-Human	0	0.36657818	0.44242194	3.55201618	0	1.276703324	0.341296928	0.78371887	0	0	0	0	0	0	0.42978132	0	0	1.37782834	0.24017191	0.1896094	0	0	2.41435975	0	3.76690684	1.70648464	2.856781696	0.227531286	0.12640627	42.39666287
X30	Bantu-Human	0	0	0	0	0	0.577557756	0	0.2750275	0	0.2750275	0	0.41254125	0.60506051	0.192519252	0	0.66006601	0	1.182618262	0	0	0	0	3.54785479	2.83278328	0	6.35313531	4.922992299	0.99009901	0	20.0770077
X31	Bantu-Human	0	0	0.14522663	7.10846136	0.51211496	0.099365589	0	0	0	0	0.1070091	0	0.4433234	0.198731178	0	0.25987923	0.29809677	0.259879233	0	0	0	0.236948712	0.84078575	0	0.12229611	12.14553237	0.901933807	0.244592219	0	30.34472216
X32	Bantu-Human	0.60821837	0	0	0	0.48954161	0.608218365	0	0	0	0.10384216	0	0.08900757	0.14834594	0	0	0.2521881	0.10384216	0	0	1.05325619	0	0.237353508	9.34579439	0.44503783	0.29669189	0.34119567	2.744399941	0.118676754	0.14834594	24.77377244
X35	Bantu-Human	0.03967939	0	3.09499246	0	0	0	0.261883977	0.15871756	0.888818348	0.41266566	0.0714229	0.29362749	0.21426871	0	0	0.26188398	0.46028093	0.761844298	0.15871756	0.46821681	0	0	0.5078962	0.41266566	1.28561225	5.16625665	1.444329815	0.119038172	0.21426871	23.02198238
X1FECOB	Captive Chimps-Hodonin	0	2.09567198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13895216	0	0	0	0	0	0	0	1.03644647	0	0	6.38952164	12.49430524	0
X2FecJUDY	Captive Chimps-Hodonin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.0031575	13.7583581	0	0
X4FecTEA	Captive Chimps-Hodonin	2.69891342	0	0	0	1.38801262	0	0	0	1.668419208	0	0	1.60532773	5.99369085	0	0	0	0	0	0	0	0	4.830003505	0	0	0	0	0	0.084121977	8.62951279	0
CH11	Captive Chimps-Ostrava	0	4.01326242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.78635076	0	0	0	0	0	1.547281895	3.308696553	2.17586517	0
CH12	Captive Chimps-Ostrava	5.25110746	3.58867154	0	0	3.07102683	0	0.009954706	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33935593	10.16375492	0.01493206	0	0	0.04479618	1.826688567	5.514907172	5.08187746	0.0746603
CH13	Captive Chimps-Ostrava	0	1.00947352	0	0	0	0.295076875	0	0	0	0.37272868	0	0	0.51250194	0	0	0	0	0	0	0	0	0	0.51250194	0	3.19148936	0	0.100947352	0	27.71393073	0.08541699
CH14	Captive Chimps-Ostrava	0	0.41480536	0	0	0	0.925335035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91448628	0	1.22527122	0	0.80408424	0	0	0	17.71537971	0.01914486
CH15	Captive Chimps-Ostrava	0	6.83416185	0	0	0	0.134354427	0	0	0	0	1.02109365	0	0.25975189	0	0	0	0	0	0	0.39410632	4.17842268	0	0	0	1.96157463	0.10300506	0.309015182	0	9.31524027	0.04030633
