ITS	Kingdom	Phylum	Class	Order	Family	Genus	Species
55237845767c441c4e87aa4de69cf0b1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	
52bc49fbf2ecd8b8a0a4d376100a3e0d	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_caesiellus
2343d35d2595e2249b6b0788c291563a	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
d1551ff4d0702a0f8e0b9ac35a25bf6c	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia_byssoides
d5fe18432fc7bad1d912ffc46af37601	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_persicinum
98aa8f9af5d75b003f297fa446e869aa	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_quercitrusa
fc8c5ffacde18a2283b840b81828090d	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Castanediella	Castanediella_couratarii
d232222b2a09e53187f280836ccd83fe	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_catenatum
9e42f44aaff2b3eeb6336925728fd29f	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
6916d386b67ae389d75219a14bf80740	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	
65dbd9e6773429e8cda9023ee43f4f6d	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	unidentified
708cd72e3e980475485d6b60d18853c1	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_jiangxiense
b89dac935be2eb5a9d8388f13e8a0b27	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora_cochleariformis
588841516ac3efbace3dfef2191cd89b	Fungi	Ascomycota	Sordariomycetes	Sordariales			
622b6149832b500ed5d5a01f49bc59b2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae		
76502a43990cac515e1d0defec049e43	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_rugulosus
c063137ad54e4d428e9642305252854e	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	
61fb98f7862cf17f471eec3295cdb057	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Trichomerium	Trichomerium_dioscoreae
08ba18934ec9f1c3bc74440c64b0c420	Fungi	Ascomycota					
f1370e8233dfcf18f00b3e7955abffe7	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_tropicalis
ce789aa233364330f9a601ee99d1717f	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Priceomyces	Priceomyces_melissophilus
cd27dfa017d816443e5e48c2d8993e06	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	unidentified	unidentified
82f7397e164468c10e405f01eb6ad890	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae		
8865c029aae52b20361d0a1629720d0b	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_myanmarensis
823e362e69306b6d2c305323f8ec0481	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
2ec03a0693088851c8a4685592d7a32b	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Dothiorella	
61b0d755b20c7681c17814a460eba040	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
d21710911b184d6eee705efbd62291d6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae		
c25d17ec3038e601271f5b76276d40d0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unidentified	unidentified	unidentified
04d38a202be06389c60f1eef6bb7838b	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_mandshurica
4508f7952b28669ca020b60e95bec469	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora_longicollis
3fce379404fe87caf9d6b06a532961a5	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	
58f893d85f8d5b68b7c78dcac2708a0b	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_quercitrusa
8b05add14a66c7c9aac0bd8775bfcb41	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae		
dc7c8d987b9994496549dcde9c33f9a9	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	unidentified
8159344c88897409895748638cc82e20	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	Thelebolus	Thelebolus_globosus
fa4231d184b1582773f6d5ca65fe51f4	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella	
3524c0e1c8fd7230a98ba5f749ef0661	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
d0b3fccf276286dd25ca990a590e629c	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Mycoleptodiscus	unidentified
333c2c7d8322ee5fda63849fcf25a087	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	
6d3a05750e3a7147cfa822592acb1246	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycopsidaceae	Saccharomycopsis	Saccharomycopsis_vini
5514ecce1b4a9bb8ed6f21a68c8b4087	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_penicillioides
96979925ecd806295627fb80c5b10d28	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
16507e25d999abc59217324eaa106635	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	unidentified
8d50d5e4d31b744eb9647746878c017e	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_albicans
c43f0d33f81cc1daa6640bdf7bbf8574	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
3a439a0e92578bb8f02ffdeeafdef664	Fungi	Ascomycota	Sordariomycetes	Xylariales			
5579452b3e48a6507174b8add11f30bb	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	Nigrospora_oryzae
2fb62ba3911bfe82f03409964af3cfe6	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_rugulosus
371ea12900a701493198af5c396b9311	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_prosopidis
8604587e7946551615f18f17847a7d4c	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
1d22bf03a7ecf6a847f34c12ba7f8de4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus_biglobosus
33d62816c6a1fbf24f13d226dfa5e76d	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Schwanniomyces	Schwanniomyces_occidentalis
a205ff23fa22d76566f46ed9b90c9a75	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
7b79edb399b2560e43f93b1f61494ff9	Fungi	Ascomycota	Dothideomycetes				
0b24831e597f08faedac938088911adb	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_penicillioides
